color,director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,plot_keywords,language,country,content_rating,title_year
Color,Zack Snyder,183,Lauren Cohan,330249062,Action|Adventure|Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,Alan D. Purwin,based on comic book|batman|sequel to a reboot|superhero|superman,English,USA,PG-13,2016
Color,Bryan Singer,169,Marlon Brando,200069408,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns ,240396,Frank Langella,crystal|epic|lex luthor|lois lane|return to earth,English,USA,PG-13,2006
Color,Marc Forster,106,Mathieu Amalric,168368427,Action|Adventure,Giancarlo Giannini,Quantum of Solace ,330784,Rory Kinnear,action hero|attempted rape|bond girl|official james bond series|revenge,English,UK,PG-13,2008
Color,Gore Verbinski,151,Orlando Bloom,423032628,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,Jack Davenport,box office hit|giant squid|heart|liar's dice|monster,English,USA,PG-13,2006
Color,Gore Verbinski,150,Ruth Wilson,89289910,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,181792,Tom Wilkinson,horse|outlaw|texas|texas ranger|train,English,USA,PG-13,2013
Color,Zack Snyder,143,Christopher Meloni,291021565,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel ,548573,Harry Lennix,based on comic book|british actor playing american character|final battle|origin of hero|reboot,English,USA,PG-13,2013
Color,Andrew Adamson,150,Pierfrancesco Favino,141614023,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,Damián Alcázar,brother brother relationship|brother sister relationship|good versus evil|king|narnia,English,USA,PG,2008
Color,Joss Whedon,173,Robert Downey Jr.,623279547,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,995415,Scarlett Johansson,alien invasion|assassin|battle|iron man|soldier,English,USA,PG-13,2012
Color,Rob Marshall,136,Sam Claflin,241063875,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,Stephen Graham,blackbeard|captain|pirate|revenge|soldier,English,USA,PG-13,2011
Color,Barry Sonnenfeld,106,Michael Stuhlbarg,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,268154,Nicole Scherzinger,alien|criminal|m.i.b.|maximum security prison|prison,English,USA,PG-13,2012
Color,Peter Jackson,164,Adam Brown,255108370,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,James Nesbitt,army|elf|hobbit|middle earth|orc,English,New Zealand,PG-13,2014
Color,Marc Webb,153,Andrew Garfield,262030663,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,451803,Chris Zylka,lizard|outcast|spider|spider man|teenager,English,USA,PG-13,2012
Color,Ridley Scott,156,William Hurt,105219735,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,211765,Scott Grimes,1190s|archer|england|king of england|robin hood,English,USA,PG-13,2010
Color,Peter Jackson,186,Adam Brown,258355354,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,James Nesbitt,dwarf|elf|lake town|mountain|sword and sorcery,English,USA,PG-13,2013
Color,Chris Weitz,113,Eva Green,70083519,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,149019,Kristin Scott Thomas,children|epic|friend|girl|quest,English,USA,PG-13,2007
Color,Peter Jackson,201,Thomas Kretschmann,218051260,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316018,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong,English,New Zealand,PG-13,2005
Color,James Cameron,194,Kate Winslet,658672302,Drama|Romance,Leonardo DiCaprio,Titanic ,793059,Gloria Stuart,artist|love|ship|titanic|wet,English,USA,PG-13,1997
Color,Anthony Russo,147,Scarlett Johansson,407197282,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War ,272670,Chris Evans,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,English,USA,PG-13,2016
Color,Peter Berg,131,Alexander Skarsgård,65173160,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship ,202382,Tadanobu Asano,box office flop|hawaii|naval|oahu hawaii|ship,English,USA,PG-13,2012
Color,Colin Trevorrow,124,Judy Greer,652177271,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World ,418214,Omar Sy,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,English,USA,PG-13,2015
Color,Sam Mendes,143,Helen McCrory,304360277,Action|Adventure|Thriller,Albert Finney,Skyfall ,522030,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,English,UK,PG-13,2012
Color,Sam Raimi,135,James Franco,373377893,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 ,411164,Kirsten Dunst,death|doctor|scientist|super villain|tentacle,English,USA,PG-13,2004
Color,Shane Black,195,Jon Favreau,408992272,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3 ,557489,Don Cheadle,armor|explosion|human bomb|missile attack|terrorist,English,USA,PG-13,2013
Color,Tim Burton,108,Alan Rickman,334185206,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,306320,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,English,USA,PG,2010
Color,Brett Ratner,104,Kelsey Grammer,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand ,383427,Daniel Cudmore,battle|mutant|outrage|walking through a wall|x men,English,Canada,PG-13,2006
Color,Dan Scanlon,104,Tyler Labine,268488329,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,235025,Sean Hayes,cheating|fraternity|monster|singing in a car|university,English,USA,G,2013
Color,Michael Bay,150,Kevin Dunn,402076689,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,Ramon Rodriguez,autobot|decepticon|machine|sun|symbol,English,USA,PG-13,2009
Color,Michael Bay,165,Sophia Myles,245428137,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction ,242420,Kelsey Grammer,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,English,USA,PG-13,2014
Color,Sam Raimi,130,Mila Kunis,234903076,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,175409,James Franco,circus|magic|magician|oz|witch,English,USA,PG,2013
Color,Marc Webb,142,Andrew Garfield,202853933,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 ,321227,B.J. Novak,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,English,USA,PG-13,2014
Color,Joseph Kosinski,125,Olivia Wilde,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,264183,James Frain,arcade|bridge|disappearance|escape|warrior,English,USA,PG,2010
Color,John Lasseter,106,Thomas Kretschmann,191450875,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 ,101178,Eddie Izzard,best friend|car race|conspiracy|gadget car|spy,English,USA,G,2011
Color,Martin Campbell,123,Temuera Morrison,116593191,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,223393,Taika Waititi,autopsy|lantern|planet|ring|test pilot,English,USA,PG-13,2011
Color,Lee Unkrich,103,John Ratzenberger,414984497,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,544884,Don Rickles,college|day care|escape|teddy bear|toy,English,USA,G,2010
Color,McG,118,Bryce Dallas Howard,125320003,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation ,286095,Common,death row|future|machine|rescue|skynet,English,USA,PG-13,2009
Color,James Wan,140,Paul Walker,350034110,Action|Crime|Thriller,Jason Statham,Furious 7 ,278232,Vin Diesel,car falling off a cliff|hospital|revenge|star died before release|terrorist,English,USA,PG-13,2015
Color,Marc Forster,123,Brad Pitt,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,465019,Mireille Enos,chaos|disease|infection|pandemic|zombie,English,USA,PG-13,2013
Color,Bryan Singer,149,Peter Dinklage,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,514125,Hugh Jackman,dystopia|super strength|supernatural power|time paradox|time travel,English,USA,PG-13,2014
Color,J.J. Abrams,132,Bruce Greenwood,228756232,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,395573,Noel Clarke,admiral|captain|manhunt|mission|space,English,USA,PG-13,2013
Color,Bryan Singer,114,Ewen Bremner,65171860,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer ,106416,Ralph Brown,bean|giant|king|no opening credits|princess,English,USA,PG-13,2013
Color,Baz Luhrmann,143,Elizabeth Debicki,144812796,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,362912,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,English,Australia,PG-13,2013
Color,Mike Newell,116,Richard Coyle,90755643,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,Reece Ritchie,alamut|dagger|king|persia|princess,English,USA,PG-13,2010
Color,Guillermo del Toro,131,Clifton Collins Jr.,101785482,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim ,381148,Larry Joe Campbell,giant monster|kaiju|pilot|portal|robot,English,USA,PG-13,2013
Color,Michael Bay,154,Lester Speight,352358779,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,326180,Kevin Dunn,autobot|decepticon|job interview|moon|spacecraft,English,USA,PG-13,2011
Color,Steven Spielberg,122,Ray Winstone,317011114,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,Jim Broadbent,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,English,USA,PG-13,2008
Color,Peter Sohn,93,Jack McGraw,123070338,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,62836,Peter Sohn,apatosaurus|asteroid|dinosaur|fear|river,English,USA,PG,2015
Color,Mark Andrews,93,John Ratzenberger,237282182,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,273556,Julie Walters,archery|coming of age|female warrior|princess|rebellious daughter,English,USA,PG,2012
Color,Justin Lin,122,Melissa Roxburgh,130468626,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,53607,Lydia Wilson,hatred|sequel|space opera|star trek|third part,English,USA,PG-13,2016
Color,Andrew Stanton,98,Fred Willard,223806889,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL·E ,718837,Jeff Garlin,earth|obesity|plant|robot|soil,English,USA,G,2008
Color,Brett Ratner,91,Dana Ivey,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,121084,Noémie Lenoir,ambassador|assassination|chinese|french|triad,English,USA,PG-13,2007
Color,Roland Emmerich,158,Liam James,166112167,Action|Adventure|Sci-Fi,Oliver Platt,2012,283418,Tom McCarthy,ark|catastrophe|geologist|president|writer,English,USA,PG-13,2009
Color,Robert Zemeckis,96,Colin Firth,137850096,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,72809,Gary Oldman,charles dickens|christmas|christmas eve|ghost|scrooge,English,USA,PG,2009
Color,Lana Wachowski,127,Mila Kunis,47375327,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,139593,Eddie Redmayne,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,English,USA,PG-13,2015
Color,David Yates,110,Alexander Skarsgård,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,42372,Casper Crump,africa|capture|jungle|male objectification|tarzan,English,USA,PG-13,2016
Color,Andrew Adamson,150,Kiran Shah,291709845,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,Shane Rangi,hide and seek|lion|magic|professor|snow,English,USA,PG,2005
Color,Bryan Singer,144,Michael Fassbender,154985087,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,148379,Tye Sheridan,mutant|superhero|superhero team|x men|year 1983,English,USA,PG-13,2016
Color,Christopher Nolan,152,Heath Ledger,533316061,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,1676169,Morgan Freeman,based on comic book|dc comics|psychopath|star died before release|urban setting,English,USA,PG-13,2008
Color,Pete Docter,96,Delroy Lindo,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,665575,Jess Harnell,balloon|house|promise|retirement|skeleton,English,USA,PG,2009
Color,Rob Letterman,94,Rainn Wilson,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,114553,Stephen Colbert,alien|alien invasion|alien space craft|giant|giantess,English,USA,PG,2009
Color,Jon Favreau,126,Jeff Bridges,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,Jon Favreau,afghanistan|billionaire|inventor|playboy|u.s. air force,English,USA,PG-13,2008
Color,Martin Scorsese,126,Christopher Lee,73820094,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,245333,Ray Winstone,automaton|mechanical|railway station|steampunk|train,English,USA,PG,2011
Color,Barry Sonnenfeld,106,Salma Hayek,113745408,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,129601,Bai Ling,buddy movie|general|inventor|steampunk|utah,English,USA,PG-13,1999
Color,Rob Cohen,112,Brendan Fraser,102176165,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,Russell Wong,army|china|emperor|mummy|shangri la,English,USA,PG-13,2008
Color,David Ayer,123,Robin Atkin Downes,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,118992,Ike Barinholtz,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,English,USA,PG-13,2016
Color,Tom Shadyac,96,Morgan Freeman,100289690,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,115099,Steve Carell,ark|change|congressman|depiction of god|flood,English,USA,PG,2007
Color,Doug Liman,113,Lara Pulver,100189501,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,431620,Noah Taylor,alien|combat|dying repeatedly|end of the world|time loop,English,USA,PG-13,2014
Color,Kevin Reynolds,176,Rick Aviles,88246220,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,144337,Zakes Mokae,future|sail|sea|smoker|water,English,USA,PG-13,1995
Color,Stephen Sommers,118,Dennis Quaid,150167630,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,Leo Howard,cobra|gi joe|snake|train|warhead,English,USA,PG-13,2009
Color,Pete Docter,95,Mindy Kaling,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,345198,Phyllis Smith,anger|joy|memory|running away|sadness,English,USA,PG,2015
Color,Jon Favreau,106,Bill Murray,362645141,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,106072,Garry Shandling,fire|jungle|remake|tiger|wolf,English,UK,PG,2016
Color,Jon Favreau,124,Scarlett Johansson,312057433,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,Jon Favreau,hammer|military|monaco|revenge|tony stark,English,USA,PG-13,2010
Color,Rupert Sanders,132,Kristen Stewart,155111815,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,228554,Sam Claflin,evil queen|fairy tale|magic|queen|snow white,English,USA,PG-13,2012
Color,Robert Stromberg,97,Sharlto Copley,241407328,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,252257,Sam Riley,curse|dark fantasy|fairy|king|kingdom,English,USA,PG,2014
Color,Matt Reeves,130,Judy Greer,208543795,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,317542,Kodi Smit-McPhee,ape|dam|leader|post apocalypse|sequel,English,USA,PG-13,2014
Color,Roland Joffé,109,Alice Englert,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,2138,Bipasha Basu,1770s|british india|great barrier reef|india|ring,English,Belgium,R,2015
Color,Carl Rinsch,128,Cary-Hiroyuki Tagawa,38297305,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,116994,Jin Akanishi,box office flop|ronin|samurai|shogun|tournament,English,USA,PG-13,2013
Color,Anthony Russo,136,Chris Evans,259746958,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,Hayley Atwell,conspiracy|heroism|megalomaniac|super soldier|world domination,English,USA,PG-13,2014
Color,Mike Mitchell,93,Kathy Griffin,238371987,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,138661,Mary Kay Place,alternate world|fairy tale parody|female warrior|ogre|true love,English,USA,PG,2010
Color,Brad Bird,130,Chris Bauer,93417865,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,128306,Thomas Robinson,boy genius|futuristic city|inventor|teenage girl|time travel,English,USA,PG,2015
Color,Don Hall,102,Daniel Henney,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,279093,Abraham Benrubi,high tech|martial arts|masked man|robot|superhero,English,USA,PG,2014
Color,Rich Moore,101,Sarah Silverman,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,272534,Joe Lo Truglio,arcade|candy|glitch|king|medal,English,USA,PG,2012
Color,Robert Zemeckis,100,Eddie Deezen,665426,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,120798,Peter Scolari,boy|christmas|christmas eve|north pole|train,English,USA,G,2004
Color,Roland Emmerich,120,Sela Ward,102315545,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,58137,Judd Hirsch,alien|battle|defense|independence day|mothership,English,USA,PG-13,2016
Color,Dean DeBlois,98,America Ferrera,217387997,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,485430,Craig Ferguson,dragon|island|training|viking|village,English,USA,PG,2010
Color,Jonathan Mostow,109,M.C. Gainey,150350192,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,305340,Carolyn Hennesy,drifter|exploding truck|future|machine|skynet,English,USA,R,2003
Color,James Gunn,121,Vin Diesel,333130696,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,682155,Djimon Hounsou,bounty hunter|outer space|raccoon|talking animal|tree,English,USA,PG-13,2014
Color,Christopher Nolan,169,Anne Hathaway,187991439,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,928227,Mackenzie Foy,black hole|father daughter relationship|saving the world|space travel|wormhole,English,USA,PG-13,2014
Color,Christopher Nolan,148,Tom Hardy,292568851,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception ,1468200,Joseph Gordon-Levitt,ambiguous ending|corporate espionage|dream|subconscious|thief,English,USA,PG-13,2010
Color,Hideaki Anno,120,Shin'ya Tsukamoto,,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,374,Atsuko Maeda,blood|godzilla|monster|sequel,Japanese,Japan,,2016
Color,Peter Jackson,182,Adam Brown,303001229,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,637246,James Nesbitt,dragon|dwarf|hobbit|orc|wizard,English,USA,PG-13,2012
Color,Rob Cohen,106,Vin Diesel,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,272223,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,English,USA,PG-13,2001
Color,David Fincher,166,Jason Flemyng,127490802,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,459346,Julia Ormond,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,English,USA,PG-13,2008
Color,Matthew Vaughn,132,Michael Fassbender,146405371,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,518537,Oliver Platt,cia|cia agent|mutant|nuclear war|professor,English,USA,PG-13,2011
Color,Francis Lawrence,137,Philip Seymour Hoffman,281666058,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,166137,Josh Hutcherson,death of sister|dystopia|execution|rebellion|revolution,English,USA,PG-13,2015
Color,Jon Turteltaub,109,Omar Benson Miller,63143812,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,124185,Robert Capron,chosen one|enchanted object|love|spell|training,English,USA,PG,2010
Color,Wolfgang Petersen,98,Mike Vogel,60655503,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,82380,Andre Braugher,cruise|escape|ocean|passenger|water,English,USA,PG-13,2006
Color,James Bobin,113,Alan Rickman,76846624,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,21352,Anne Hathaway,clock|dark fantasy|mad hatter|queen|sequel,English,USA,PG,2016
Color,Chris Miller,93,Eric Idle,320706665,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,211971,Rupert Everett,disney spoof|fairy tale|prince|princess|tough guy,English,USA,PG,2007
Color,Duncan Jones,123,Callum Rennie,46978995,Action|Adventure|Fantasy,Dominic Cooper,Warcraft ,111609,Ruth Negga,based on video game|fictional language|fictional war|orc|sword and sorcery,English,USA,PG-13,2016
Color,Alan Taylor,126,Emilia Clarke,89732035,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,188457,Matt Smith,alternate timeline|cyborg|future|robot|time machine,English,USA,PG-13,2015
Color,Michael Apted,113,Shane Rangi,104383624,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,Laura Brent,dragon|king|mouse|quest|warrior,English,USA,PG,2010
 Black and White,Michael Bay,184,Jaime King,198539855,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harbor ,254111,Mako,air raid|black smoke|japanese military|japanese navy|sunday,English,USA,PG-13,2001
Color,Michael Bay,144,Michael O'Neill,318759914,Action|Adventure|Sci-Fi,Zack Ward,Transformers ,513158,Kevin Dunn,alien contact|autobot|decepticon|robot vs. robot|teenage hero,English,USA,PG-13,2007
Color,Oliver Stone,206,Angelina Jolie Pitt,34293771,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Alexander ,138863,Brian Blessed,ancient greece|conquest|greek|greek myth|king,English,Germany,R,2004
Color,David Yates,138,Daniel Radcliffe,292000866,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix ,355137,Fiona Shaw,battle|magic|school|teacher|wizard,English,UK,PG-13,2007
Color,Mike Newell,157,Daniel Radcliffe,289994397,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire ,385670,Rupert Grint,fire|goblet|magic|tournament|wizard,English,UK,PG-13,2005
Color,Peter Berg,102,Charlize Theron,227946274,Action|Drama,Will Smith,Hancock ,343648,Eddie Marsan,bully comeuppance|destruction|prison|superhero|tough girl,English,USA,PG-13,2008
Color,Francis Lawrence,104,Alice Braga,256386216,Drama|Horror|Sci-Fi,Will Smith,I Am Legend ,530870,Willow Smith,new york city|pandemic|post apocalypse|survivalist|virus,English,USA,PG-13,2007
Color,Tim Burton,115,Christopher Lee,206456431,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,320284,David Kelly,chocolate|diminution|miniaturization|physical flexability|ticket,English,USA,PG,2005
Color,Brad Bird,111,John Ratzenberger,206435493,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,473887,Brian Dennehy,chef|food|french|rat|restaurant,English,USA,G,2007
Color,Christopher Nolan,128,Liam Neeson,205343774,Action|Adventure,Christian Bale,Batman Begins ,980946,Morgan Freeman,armored car|gangster|gotham|mixed martial arts|social decay,English,USA,PG-13,2005
Color,Eric Darnell,89,Jada Pinkett Smith,179982968,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Madagascar: Escape 2 Africa ,146019,Cedric the Entertainer,africa|madagascar|new york city|sequel|zoo,English,USA,PG,2008
Color,Shawn Levy,105,Rami Malek,177243721,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,130272,Steve Coogan,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,English,USA,PG,2009
Color,Gavin Hood,119,Ryan Reynolds,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men Origins: Wolverine ,361924,Dominic Monaghan,army|civil war|claw fight|commando|wolverine the character,English,USA,PG-13,2009
Color,Lana Wachowski,129,Collin Chou,139259759,Action|Sci-Fi,Essie Davis,The Matrix Revolutions ,364948,Nona Gaye,battle|epic|fight|future|machine,English,Australia,R,2003
Color,Chris Buck,102,Maurice LaMarche,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Frozen ,421658,Livvy Stubenrauch,magic|sister love|sister sister relationship|snow|snowman,English,USA,PG,2013
Color,Lana Wachowski,138,Daniel Bernhardt,281492479,Action|Sci-Fi,Steve Bastoni,The Matrix Reloaded ,421818,Helmut Bakaitis,car motorcycle chase|one against many|oracle|prophecy|stylized violence,English,USA,R,2003
